initial_temperature,cooling_factor,epoch_length,no_improve_limit,avg_distance
50,0.9,20,15,320312.4
50,0.9,20,20,302945.2
50,0.9,20,30,285991.8
50,0.9,35,5,277033
50,0.9,35,10,252666.6
50,0.9,35,15,237870.8
50,0.9,35,20,227777.8
50,0.9,35,30,213891.8
50,0.9,50,5,231460.4
50,0.9,50,10,209951.6
50,0.9,50,15,196278.8
50,0.9,50,20,188885.6
50,0.9,50,30,177088.6
50,0.9,100,5,160226.2
50,0.9,100,10,146037.2
50,0.9,100,15,138294
50,0.9,100,20,131542
50,0.9,100,30,123652.6
50,0.95,10,5,531514.6
50,0.95,10,10,480883.2
50,0.95,10,15,457281.6
50,0.95,10,20,436560.4
50,0.95,10,30,410168.4
50,0.95,20,5,373417.8
50,0.95,20,10,339325.8
50,0.95,20,15,318260.8
50,0.95,20,20,303959.4
50,0.95,20,30,286572.2
50,0.95,35,5,276922
50,0.95,35,10,253014.8
50,0.95,35,15,238705.2
50,0.95,35,20,228131.6
50,0.95,35,30,213117.2
50,0.95,50,5,229619.2
50,0.95,50,10,210106.4
50,0.95,50,15,198077.8
50,0.95,50,20,188184
50,0.95,50,30,177530.8
50,0.95,100,5,160196.2
50,0.95,100,10,145729.2
50,0.95,100,15,137858.6
50,0.95,100,20,130987.2
50,0.95,100,30,123097.4
50,0.99,10,5,533160.4
50,0.99,10,10,486614.6
50,0.99,10,15,457667.4
50,0.99,10,20,437064.8
50,0.99,10,30,410447
50,0.99,20,5,375529.2
50,0.99,20,10,340762
50,0.99,20,15,318119.4
50,0.99,20,20,304255
50,0.99,20,30,285686
50,0.99,35,5,278054.2
50,0.99,35,10,252755.4
50,0.99,35,15,238275.2
50,0.99,35,20,228807.8
50,0.99,35,30,214062
50,0.99,50,5,230904.6
50,0.99,50,10,209901.6
50,0.99,50,15,197577
50,0.99,50,20,189802
50,0.99,50,30,177110.4
50,0.99,100,5,160805.4
50,0.99,100,10,146716.4
50,0.99,100,15,138224.4
50,0.99,100,20,131470.8
50,0.99,100,30,123438.2
75,0.8,10,5,531677.2
75,0.8,10,10,485344.8
75,0.8,10,15,454158.6
75,0.8,10,20,435693
75,0.8,10,30,408364
75,0.8,20,5,374214
75,0.8,20,10,337173.4
75,0.8,20,15,319303.4
75,0.8,20,20,305840.6
75,0.8,20,30,284950
75,0.8,35,5,278302.4
75,0.8,35,10,252690.2
75,0.8,35,15,238009.4
75,0.8,35,20,227251.8
75,0.8,35,30,213712.4
75,0.8,50,5,229901.8
75,0.8,50,10,211054.2
75,0.8,50,15,197145
75,0.8,50,20,188596.4
75,0.8,50,30,176533.6
75,0.8,100,5,160364.2
75,0.8,100,10,146407.2
75,0.8,100,15,138600.8
75,0.8,100,20,131627.4
75,0.8,100,30,123119.2
75,0.85,10,5,533697
75,0.85,10,10,483397.6
75,0.85,10,15,455743
75,0.85,10,20,437503.6
75,0.85,10,30,409592.4
75,0.85,20,5,373035.4
75,0.85,20,10,337844.8
75,0.85,20,15,319577.8
75,0.85,20,20,305539.4
75,0.85,20,30,285499
75,0.85,35,5,276250
75,0.85,35,10,252225.4
75,0.85,35,15,238572.8
75,0.85,35,20,227677.8
75,0.85,35,30,213373.6
75,0.85,50,5,230093
75,0.85,50,10,210065.6
75,0.85,50,15,197805.2
75,0.85,50,20,188977.4
75,0.85,50,30,176169.8
75,0.85,100,5,160570.8
75,0.85,100,10,145665
75,0.85,100,15,138006.6
75,0.85,100,20,131897.6
75,0.85,100,30,123081.6
75,0.9,10,5,534680.8
75,0.9,10,10,485226.2
75,0.9,10,15,458467.6
75,0.9,10,20,438537.4
75,0.9,10,30,408540.2
75,0.9,20,5,372900.4
75,0.9,20,10,338109.8
75,0.9,20,15,318818
75,0.9,20,20,303774.2
75,0.9,20,30,285398.6
75,0.9,35,5,275976.6
75,0.9,35,10,252186.2
75,0.9,35,15,238171.4
75,0.9,35,20,227218
75,0.9,35,30,213142
75,0.9,50,5,230954.8
75,0.9,50,10,208556.6
75,0.9,50,15,197307
75,0.9,50,20,189203.4
75,0.9,50,30,176960.4
75,0.9,100,5,161671.4
75,0.9,100,10,146395
75,0.9,100,15,137152.4
75,0.9,100,20,130906.8
75,0.9,100,30,123479.8
75,0.95,10,5,532657.2
75,0.95,10,10,486864.8
